transaction_id,from_account,to_account,amount,timestamp,channel,is_fraud,sender_country,receiver_country,login_country,registered_country,hour,day_of_week,is_weekend,is_night,amount_log,prev_txn_time,seconds_since_last_txn,days_since_last_txn,repeat_amount_count,unique_counterparties,prev_time,DORMANT_ACCOUNT_ACTIVATION,SUDDEN_DEPOSIT_WITHDRAWAL,SMURFING,RAPID_FUND_MOVEMENT,ROUND_NUMBER_TXN,NIGHT_TXN,CROSS_BORDER,GEO_ANOMALY,RECURRENT_PATTERN,KYC_MISMATCH,account_id,declared_income,DETECTED_PATTERNS,TXN_RISK_SCORE,ALERT_PRIORITY
TX001553,ACC0182,ACC0112,12000.0,2025-03-29 05:48:31,CARD,0,UK,India,UK,UK,5,5,1,1,9.392745258631441,,999999.0,11.5740625,5,23,,0,0,0,0,0,1,1,0,1,0,ACC0182,1281940,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX001803,ACC0189,ACC0288,5000.0,2025-03-29 05:52:31,CARD,0,India,UK,India,India,5,5,1,1,8.517393171418904,,999999.0,11.5740625,4,19,,0,0,0,0,0,1,1,0,0,0,ACC0189,1405961,"['NIGHT_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX000198,ACC0292,ACC0097,5000.0,2025-03-29 07:28:30,CARD,0,USA,UK,USA,USA,7,5,1,0,8.517393171418904,,999999.0,11.5740625,7,32,,0,0,0,0,0,0,1,0,1,0,ACC0292,1035287,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX000429,ACC0195,ACC0006,500.0,2025-03-29 07:47:30,IMPS,0,USA,USA,USA,USA,7,5,1,0,6.2166061010848646,,999999.0,11.5740625,3,22,,0,0,0,0,0,0,0,0,0,0,ACC0195,850276,[],0.0,LOW
TX002121,ACC0052,ACC0267,2000.0,2025-03-29 08:06:31,IMPS,0,UK,USA,UK,UK,8,5,1,0,7.601402334583733,,999999.0,11.5740625,6,18,,0,0,0,0,0,0,1,0,1,0,ACC0052,602317,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX001998,ACC0113,ACC0163,500.0,2025-03-29 08:40:31,UPI,0,USA,USA,USA,USA,8,5,1,0,6.2166061010848646,,999999.0,11.5740625,7,28,,0,0,0,0,0,0,0,0,1,0,ACC0113,755793,['RECURRENT_PATTERN'],0.2,LOW
TX001217,ACC0132,ACC0004,25000.0,2025-03-29 10:29:31,UPI,0,UK,UK,UK,UK,10,5,1,0,10.12667110305036,,999999.0,11.5740625,8,31,,0,0,0,0,1,0,0,0,1,0,ACC0132,978067,"['ROUND_NUMBER_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX001654,ACC0201,ACC0190,25000.0,2025-03-29 11:43:31,UPI,0,India,USA,India,India,11,5,1,0,10.12667110305036,,999999.0,11.5740625,4,19,,0,0,0,0,1,0,1,0,0,0,ACC0201,535516,"['ROUND_NUMBER_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX001015,ACC0052,ACC0006,25000.0,2025-03-29 12:34:31,UPI,0,UK,USA,UK,UK,12,5,1,0,10.12667110305036,2025-03-29 08:06:31,16080.0,0.18611111111111112,2,18,2025-03-29 08:06:31,0,0,0,0,1,0,1,0,0,0,ACC0052,602317,"['ROUND_NUMBER_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX007060,ACC0035,ACC0232,30000.0,2025-03-29 12:51:35,UPI,1,India,UK,India,India,12,5,1,0,10.308985993422082,,999999.0,11.5740625,10,42,,0,0,0,0,0,0,1,0,1,0,ACC0035,647016,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX000969,ACC0166,ACC0092,500.0,2025-03-29 13:52:31,IMPS,0,USA,USA,USA,USA,13,5,1,0,6.2166061010848646,,999999.0,11.5740625,5,24,,0,0,0,0,0,0,0,0,1,0,ACC0166,1127377,['RECURRENT_PATTERN'],0.2,LOW
TX003379,ACC0221,ACC0095,2000.0,2025-03-29 15:01:32,UPI,0,India,UK,India,India,15,5,1,0,7.601402334583733,,999999.0,11.5740625,6,24,,0,0,0,0,0,0,1,0,1,0,ACC0221,760928,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX005728,ACC0188,ACC0088,100000.0,2025-03-29 17:35:34,IMPS,1,USA,India,USA,USA,17,5,1,0,11.51293546492023,,999999.0,11.5740625,11,26,,0,0,0,0,1,0,1,0,1,0,ACC0188,1080437,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX005729,ACC0088,ACC0234,100000.0,2025-03-29 17:36:34,CARD,1,India,UK,India,India,17,5,1,0,11.51293546492023,,999999.0,11.5740625,10,42,,0,0,0,0,1,0,1,0,1,0,ACC0088,312426,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX005730,ACC0234,ACC0294,100000.0,2025-03-29 17:37:34,UPI,1,UK,UK,UK,UK,17,5,1,0,11.51293546492023,,999999.0,11.5740625,6,31,,0,0,0,0,1,0,0,0,1,0,ACC0234,430467,"['ROUND_NUMBER_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX002482,ACC0052,ACC0046,500.0,2025-03-29 19:42:32,CARD,0,UK,UK,UK,UK,19,5,1,0,6.2166061010848646,2025-03-29 12:34:31,25681.0,0.2972337962962963,7,18,2025-03-29 12:34:31,0,0,0,0,0,0,0,0,1,0,ACC0052,602317,['RECURRENT_PATTERN'],0.2,LOW
TX000360,ACC0205,ACC0266,5000.0,2025-03-29 20:08:30,UPI,0,USA,UK,USA,USA,20,5,1,0,8.517393171418904,,999999.0,11.5740625,1,20,,0,0,0,0,0,0,1,0,0,0,ACC0205,446962,['CROSS_BORDER'],0.25,LOW
TX000588,ACC0120,ACC0088,500.0,2025-03-29 20:18:31,IMPS,0,India,India,India,India,20,5,1,0,6.2166061010848646,,999999.0,11.5740625,3,18,,0,0,0,0,0,0,0,0,0,0,ACC0120,827371,[],0.0,LOW
TX002373,ACC0281,ACC0277,500.0,2025-03-29 21:12:32,CARD,0,India,UK,India,India,21,5,1,0,6.2166061010848646,,999999.0,11.5740625,7,22,,0,0,0,0,0,0,1,0,1,0,ACC0281,1228853,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX000606,ACC0295,ACC0255,2000.0,2025-03-29 22:54:31,IMPS,0,UK,USA,UK,UK,22,5,1,0,7.601402334583733,2025-03-28 20:25:33,95338.0,1.103449074074074,7,24,2025-03-28 20:25:33,0,0,0,0,0,0,1,0,1,0,ACC0295,1144872,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX004187,ACC0224,ACC0182,25000.0,2025-03-29 22:59:33,CARD,0,India,UK,India,India,22,5,1,0,10.12667110305036,,999999.0,11.5740625,2,29,,0,0,0,0,1,0,1,0,0,0,ACC0224,1024688,"['ROUND_NUMBER_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX003040,ACC0078,ACC0072,2000.0,2025-03-29 23:10:32,CARD,0,UK,USA,UK,UK,23,5,1,1,7.601402334583733,,999999.0,11.5740625,4,22,,0,0,0,0,0,1,1,0,0,0,ACC0078,1236635,"['NIGHT_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX001599,ACC0214,ACC0134,25000.0,2025-03-29 23:24:31,UPI,0,USA,UK,USA,USA,23,5,1,1,10.12667110305036,,999999.0,11.5740625,4,29,,0,0,0,0,1,1,1,0,0,0,ACC0214,1288207,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER']",0.55,HIGH
TX002801,ACC0264,ACC0202,12000.0,2025-03-29 23:36:32,UPI,0,UK,USA,UK,UK,23,5,1,1,9.392745258631441,,999999.0,11.5740625,7,28,,0,0,0,0,0,1,1,0,1,0,ACC0264,681640,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX002244,ACC0051,ACC0041,12000.0,2025-03-30 00:43:31,UPI,0,UK,UK,UK,UK,0,6,1,1,9.392745258631441,,999999.0,11.5740625,5,28,,0,0,0,0,0,1,0,0,1,0,ACC0051,461358,"['NIGHT_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX004439,ACC0123,ACC0245,12000.0,2025-03-30 02:44:33,CARD,0,USA,UK,USA,USA,2,6,1,1,9.392745258631441,,999999.0,11.5740625,4,19,,0,0,0,0,0,1,1,0,0,0,ACC0123,938870,"['NIGHT_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX006785,ACC0110,ACC0112,20000.0,2025-03-30 05:19:35,IMPS,1,USA,India,India,USA,5,6,1,1,9.90353755128617,,999999.0,11.5740625,3,27,,0,0,0,0,0,1,1,1,0,0,ACC0110,689815,"['NIGHT_TXN', 'CROSS_BORDER', 'GEO_ANOMALY']",0.65,HIGH
TX004794,ACC0056,ACC0172,12000.0,2025-03-30 05:57:33,CARD,0,India,UK,India,India,5,6,1,1,9.392745258631441,,999999.0,11.5740625,3,16,,0,0,0,0,0,1,1,0,0,0,ACC0056,1407269,"['NIGHT_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX001602,ACC0205,ACC0285,2000.0,2025-03-30 06:04:31,IMPS,0,USA,India,USA,USA,6,6,1,0,7.601402334583733,2025-03-29 20:08:30,35761.0,0.41390046296296296,5,20,2025-03-29 20:08:30,0,0,0,0,0,0,1,0,1,0,ACC0205,446962,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX000103,ACC0251,ACC0030,2000.0,2025-03-30 07:06:30,UPI,0,USA,India,USA,USA,7,6,1,0,7.601402334583733,,999999.0,11.5740625,3,19,,0,0,0,0,0,0,1,0,0,0,ACC0251,759927,['CROSS_BORDER'],0.25,LOW
TX002706,ACC0126,ACC0027,12000.0,2025-03-30 07:50:32,UPI,0,USA,India,USA,USA,7,6,1,0,9.392745258631441,,999999.0,11.5740625,4,20,,0,0,0,0,0,0,1,0,0,0,ACC0126,771531,['CROSS_BORDER'],0.25,LOW
TX000524,ACC0091,ACC0232,25000.0,2025-03-30 08:15:30,IMPS,0,UK,UK,UK,UK,8,6,1,0,10.12667110305036,,999999.0,11.5740625,5,15,,0,0,0,0,1,0,0,0,1,0,ACC0091,564513,"['ROUND_NUMBER_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX005557,ACC0112,ACC0095,49999.0,2025-03-30 09:32:34,UPI,1,India,UK,India,India,9,6,1,0,10.819778284410283,2025-03-29 03:16:34,108960.0,1.261111111111111,5,37,2025-03-29 03:16:34,0,0,1,0,0,0,1,0,1,0,ACC0112,1158247,"['SMURFING', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.7,CRITICAL
TX002055,ACC0100,ACC0164,5000.0,2025-03-30 12:49:31,CARD,0,UK,USA,UK,UK,12,6,1,0,8.517393171418904,,999999.0,11.5740625,3,21,,0,0,0,0,0,0,1,0,0,0,ACC0100,1353636,['CROSS_BORDER'],0.25,LOW
TX006997,ACC0039,ACC0236,20000.0,2025-03-30 13:18:35,CARD,1,India,USA,USA,India,13,6,1,0,9.90353755128617,,999999.0,11.5740625,6,26,,0,0,0,0,0,0,1,1,1,0,ACC0039,292456,"['CROSS_BORDER', 'RECURRENT_PATTERN', 'GEO_ANOMALY']",0.7,CRITICAL
TX004944,ACC0264,ACC0114,50000.0,2025-03-30 14:37:33,UPI,1,UK,India,UK,UK,14,6,1,0,10.819798284210286,2025-03-29 23:36:32,54061.0,0.6257060185185185,5,28,2025-03-29 23:36:32,0,0,0,0,1,0,1,0,1,0,ACC0264,681640,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX004945,ACC0114,ACC0025,50000.0,2025-03-30 14:38:33,IMPS,1,India,India,India,India,14,6,1,0,10.819798284210286,,999999.0,11.5740625,3,18,,0,0,0,0,1,0,0,0,0,0,ACC0114,1223300,['ROUND_NUMBER_TXN'],0.15,LOW
TX006103,ACC0009,ACC0157,100000.0,2025-03-30 15:57:34,IMPS,1,India,India,India,India,15,6,1,0,11.51293546492023,,999999.0,11.5740625,1,21,,0,0,0,0,1,0,0,0,0,0,ACC0009,995775,['ROUND_NUMBER_TXN'],0.15,LOW
TX006439,ACC0091,ACC0222,70000.0,2025-03-30 16:57:34,CARD,1,UK,USA,UK,UK,16,6,1,0,11.156264806643742,2025-03-30 08:15:30,31324.0,0.3625462962962963,1,15,2025-03-30 08:15:30,0,0,0,0,0,0,1,0,0,0,ACC0091,564513,['CROSS_BORDER'],0.25,LOW
TX000267,ACC0148,ACC0176,2000.0,2025-03-30 19:00:30,CARD,0,India,USA,India,India,19,6,1,0,7.601402334583733,,999999.0,11.5740625,4,18,,0,0,0,0,0,0,1,0,0,0,ACC0148,1086962,['CROSS_BORDER'],0.25,LOW
TX000858,ACC0067,ACC0045,5000.0,2025-03-30 22:44:31,UPI,0,UK,UK,UK,UK,22,6,1,0,8.517393171418904,,999999.0,11.5740625,4,44,,0,0,0,0,0,0,0,0,0,0,ACC0067,1168251,[],0.0,LOW
TX003906,ACC0113,ACC0264,5000.0,2025-03-31 06:55:33,UPI,0,USA,UK,USA,USA,6,0,0,0,8.517393171418904,2025-03-29 08:40:31,166502.0,1.9271064814814816,3,28,2025-03-29 08:40:31,0,0,0,0,0,0,1,0,0,0,ACC0113,755793,['CROSS_BORDER'],0.25,LOW
TX006281,ACC0243,ACC0216,50000.0,2025-03-31 09:00:34,IMPS,1,USA,USA,USA,USA,9,0,0,0,10.819798284210286,,999999.0,11.5740625,2,24,,0,0,0,0,1,0,0,0,0,0,ACC0243,410857,['ROUND_NUMBER_TXN'],0.15,LOW
TX003025,ACC0193,ACC0177,5000.0,2025-03-31 10:38:32,IMPS,0,India,India,India,India,10,0,0,0,8.517393171418904,,999999.0,11.5740625,5,27,,0,0,0,0,0,0,0,0,1,0,ACC0193,909985,['RECURRENT_PATTERN'],0.2,LOW
TX001086,ACC0005,ACC0128,500.0,2025-03-31 10:51:31,CARD,0,USA,UK,USA,USA,10,0,0,0,6.2166061010848646,,999999.0,11.5740625,6,17,,0,0,0,0,0,0,1,0,1,0,ACC0005,291122,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX006081,ACC0262,ACC0206,10000.0,2025-03-31 11:04:34,IMPS,1,USA,UK,USA,USA,11,0,0,0,9.210440366976517,,999999.0,11.5740625,1,14,,0,0,0,0,1,0,1,0,0,0,ACC0262,1330994,"['ROUND_NUMBER_TXN', 'CROSS_BORDER']",0.4,MEDIUM
TX000281,ACC0002,ACC0169,12000.0,2025-03-31 11:09:30,UPI,0,UK,UK,UK,UK,11,0,0,0,9.392745258631441,,999999.0,11.5740625,5,25,,0,0,0,0,0,0,0,0,1,0,ACC0002,1462524,['RECURRENT_PATTERN'],0.2,LOW
TX007040,ACC0022,ACC0174,30000.0,2025-03-31 12:05:35,CARD,1,India,USA,India,India,12,0,0,0,10.308985993422082,,999999.0,11.5740625,10,55,,0,0,0,0,0,0,1,0,1,0,ACC0022,323467,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX000559,ACC0059,ACC0157,5000.0,2025-03-31 13:54:31,IMPS,0,UK,India,UK,UK,13,0,0,0,8.517393171418904,,999999.0,11.5740625,5,26,,0,0,0,0,0,0,1,0,1,0,ACC0059,1128143,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX003188,ACC0271,ACC0120,25000.0,2025-03-31 14:12:32,IMPS,0,UK,India,UK,UK,14,0,0,0,10.12667110305036,,999999.0,11.5740625,5,20,,0,0,0,0,1,0,1,0,1,0,ACC0271,1193040,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX003335,ACC0033,ACC0010,500.0,2025-03-31 16:40:32,CARD,0,India,India,India,India,16,0,0,0,6.2166061010848646,,999999.0,11.5740625,3,29,,0,0,0,0,0,0,0,0,0,0,ACC0033,1424049,[],0.0,LOW
TX007072,ACC0037,ACC0085,30000.0,2025-03-31 20:17:35,UPI,1,USA,USA,USA,USA,20,0,0,0,10.308985993422082,,999999.0,11.5740625,10,47,,0,0,0,0,0,0,0,0,1,0,ACC0037,424470,['RECURRENT_PATTERN'],0.2,LOW
TX007066,ACC0037,ACC0068,30000.0,2025-03-31 20:29:35,UPI,1,USA,India,USA,USA,20,0,0,0,10.308985993422082,2025-03-31 20:17:35,720.0,0.008333333333333333,10,47,2025-03-31 20:17:35,0,0,0,1,0,0,1,0,1,0,ACC0037,424470,"['RAPID_FUND_MOVEMENT', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.65,HIGH
TX006157,ACC0171,ACC0075,10000.0,2025-03-31 20:53:34,UPI,1,USA,USA,USA,USA,20,0,0,0,9.210440366976517,,999999.0,11.5740625,1,19,,0,0,0,0,1,0,0,0,0,0,ACC0171,793270,['ROUND_NUMBER_TXN'],0.15,LOW
TX002633,ACC0269,ACC0111,2000.0,2025-03-31 21:20:32,UPI,0,UK,India,UK,UK,21,0,0,0,7.601402334583733,,999999.0,11.5740625,5,20,,0,0,0,0,0,0,1,0,1,0,ACC0269,1367522,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX001915,ACC0000,ACC0038,5000.0,2025-03-31 21:29:31,IMPS,0,USA,USA,USA,USA,21,0,0,0,8.517393171418904,,999999.0,11.5740625,5,26,,0,0,0,0,0,0,0,0,1,0,ACC0000,252451,['RECURRENT_PATTERN'],0.2,LOW
TX005821,ACC0228,ACC0172,100000.0,2025-03-31 21:59:34,IMPS,1,India,UK,India,India,21,0,0,0,11.51293546492023,2025-03-29 03:17:34,240120.0,2.779166666666667,10,31,2025-03-29 03:17:34,0,0,0,0,1,0,1,0,1,0,ACC0228,402755,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX005822,ACC0172,ACC0058,100000.0,2025-03-31 22:00:34,CARD,1,UK,USA,UK,UK,22,0,0,0,11.51293546492023,,999999.0,11.5740625,8,33,,0,0,0,0,1,0,1,0,1,0,ACC0172,398193,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX005823,ACC0058,ACC0067,100000.0,2025-03-31 22:01:34,CARD,1,USA,UK,USA,USA,22,0,0,0,11.51293546492023,,999999.0,11.5740625,9,50,,0,0,0,0,1,0,1,0,1,0,ACC0058,722606,"['ROUND_NUMBER_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX001515,ACC0241,ACC0092,25000.0,2025-03-31 22:22:31,CARD,0,USA,USA,USA,USA,22,0,0,0,10.12667110305036,,999999.0,11.5740625,3,18,,0,0,0,0,1,0,0,0,0,0,ACC0241,1329479,['ROUND_NUMBER_TXN'],0.15,LOW
TX004480,ACC0257,ACC0188,2000.0,2025-03-31 23:42:33,IMPS,0,India,USA,India,India,23,0,0,1,7.601402334583733,,999999.0,11.5740625,7,31,,0,0,0,0,0,1,1,0,1,0,ACC0257,1225146,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX001943,ACC0195,ACC0103,5000.0,2025-03-31 23:49:31,IMPS,0,USA,USA,USA,USA,23,0,0,1,8.517393171418904,2025-03-29 07:47:30,230521.0,2.6680671296296294,8,22,2025-03-29 07:47:30,0,0,0,0,0,1,0,0,1,0,ACC0195,850276,"['NIGHT_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX004049,ACC0144,ACC0249,500.0,2025-04-01 00:34:33,CARD,0,UK,USA,UK,UK,0,1,0,1,6.2166061010848646,,999999.0,11.5740625,8,36,,0,0,0,0,0,1,1,0,1,0,ACC0144,439943,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX006073,ACC0195,ACC0156,50000.0,2025-04-01 00:52:34,IMPS,1,USA,India,USA,USA,0,1,0,1,10.819798284210286,2025-03-31 23:49:31,3783.0,0.043784722222222225,5,22,2025-03-31 23:49:31,0,0,0,0,1,1,1,0,1,0,ACC0195,850276,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.75,CRITICAL
TX000852,ACC0203,ACC0108,12000.0,2025-04-01 01:24:31,CARD,0,UK,UK,UK,UK,1,1,0,1,9.392745258631441,,999999.0,11.5740625,3,26,,0,0,0,0,0,1,0,0,0,0,ACC0203,980168,['NIGHT_TXN'],0.15,LOW
TX003880,ACC0293,ACC0028,500.0,2025-04-01 01:51:33,IMPS,0,USA,India,USA,USA,1,1,0,1,6.2166061010848646,,999999.0,11.5740625,7,33,,0,0,0,0,0,1,1,0,1,0,ACC0293,1333641,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX000527,ACC0185,ACC0043,25000.0,2025-04-01 02:25:30,CARD,0,UK,India,UK,UK,2,1,0,1,10.12667110305036,,999999.0,11.5740625,5,31,,0,0,0,0,1,1,1,0,1,0,ACC0185,407792,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.75,CRITICAL
TX000283,ACC0281,ACC0183,500.0,2025-04-01 04:38:30,UPI,0,India,UK,India,India,4,1,0,1,6.2166061010848646,2025-03-29 21:12:32,199558.0,2.309699074074074,7,22,2025-03-29 21:12:32,0,0,0,0,0,1,1,0,1,0,ACC0281,1228853,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX002657,ACC0057,ACC0109,12000.0,2025-04-01 05:03:32,CARD,0,USA,USA,USA,USA,5,1,0,1,9.392745258631441,,999999.0,11.5740625,6,19,,0,0,0,0,0,1,0,0,1,0,ACC0057,211628,"['NIGHT_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
TX000011,ACC0281,ACC0013,12000.0,2025-04-01 08:43:30,IMPS,0,India,USA,India,India,8,1,0,0,9.392745258631441,2025-04-01 04:38:30,14700.0,0.1701388888888889,5,22,2025-04-01 04:38:30,0,0,0,0,0,0,1,0,1,0,ACC0281,1228853,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX007016,ACC0013,ACC0029,30000.0,2025-04-01 08:47:35,CARD,1,USA,USA,USA,USA,8,1,0,0,10.308985993422082,,999999.0,11.5740625,10,51,,0,0,0,0,0,0,0,0,1,0,ACC0013,298810,['RECURRENT_PATTERN'],0.2,LOW
TX000085,ACC0089,ACC0061,500.0,2025-04-01 10:27:30,UPI,0,UK,India,UK,UK,10,1,0,0,6.2166061010848646,,999999.0,11.5740625,5,16,,0,0,0,0,0,0,1,0,1,0,ACC0089,1072780,"['CROSS_BORDER', 'RECURRENT_PATTERN']",0.45,MEDIUM
TX006585,ACC0003,ACC0069,70000.0,2025-04-01 10:37:34,CARD,1,India,USA,India,India,10,1,0,0,11.156264806643742,,999999.0,11.5740625,1,25,,0,0,0,0,0,0,1,0,0,0,ACC0003,213628,['CROSS_BORDER'],0.25,LOW
TX004220,ACC0022,ACC0035,12000.0,2025-04-01 10:45:33,UPI,0,India,India,India,India,10,1,0,0,9.392745258631441,2025-03-31 12:05:35,81598.0,0.9444212962962963,5,55,2025-03-31 12:05:35,0,0,0,0,0,0,0,0,1,0,ACC0022,323467,['RECURRENT_PATTERN'],0.2,LOW
TX006763,ACC0136,ACC0091,20000.0,2025-04-01 13:18:34,UPI,1,India,UK,USA,India,13,1,0,0,9.90353755128617,,999999.0,11.5740625,1,14,,0,0,0,0,0,0,1,1,0,0,ACC0136,1384005,"['CROSS_BORDER', 'GEO_ANOMALY']",0.5,HIGH
